Signatur;Geschäftstyp;Partei;Urheber/in;Titel;Beginn-Datum;Ende;Thema 1;Thema 2;Schwerpunkt;Geschäft;Status
20.5489;Vorgezogenes Budgetpostulat;;Stöcklin, Jürg;Vorgezogenes Budgetpostulat für 2022 Jürg Stöcklin und Jérôme Thiriet betreffend Präsidialdepartement, 370 Abteilung Kultur, Transferaufwand (Kulturbudget);2021-01-13;;Künste & Unterhaltung;Staatsfinanzen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110658;B
20.5488;Budgetpostulat;;Moesch, Christian C.;Budgetpostulat für 2021 Christian C. Moesch betreffend Präsidialdepartement, Statistisches Amt, Personal- und Sach- und Betriebsaufwand (Fachstelle OGD);2021-01-13;;Kommunikationsinfrastruktur;Staatsfinanzen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110656;A
20.5484;Motion;SVP;Schaller, Beat K.;Motion Beat K. Schaller und Konsorten betreffend keine Allmendgebühren bis zur vollständigen Erholung des Gewerbes nach der Coronakrise;2021-01-13;;Nutzung & Regulierung;Privatwirtschaft & Standort;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110655;A
20.5479;Schriftliche Anfrage;;Vitelli, Jörg;Schriftliche Anfrage Jörg Vitelli betreffend Neubenennung der Tramhaltestelle Felix Platter-Spital in Felix Platter-Spital/Westfeld;2020-12-09;;Öffentlicher Verkehr;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110648;A
20.5478;Schriftliche Anfrage;;Vitelli, Jörg;Schriftliche Anfrage Jörg Vitelli betreffend Verbesserung der Aufenthaltsqualität für Kinder vor dem Kindergarten Bristenweg 8;2020-12-09;;Volksschulen & Tagesbetreuung;Gestaltung & Infrastruktur;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110647;A
20.5476;Schriftliche Anfrage;;Kölliker, Sebastian;Schriftliche Anfrage Sebastian Kölliker betreffend «Hammering Man»;2020-12-09;;Künste & Unterhaltung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110641;A
20.5462;Interpellation;;Wyss, Sarah;Interpellation Nr. 146 Sarah Wyss betreffend psychosoziale Auswirkungen;2020-12-09;;Gesundheitsförderung;;Gesellschaftlicher Zusammenhalt;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110624;A
20.5456;Anzug;;Wyss, Sarah;Anzug Sarah Wyss und Toya Krummenacher betreffend Unterbesetzung kantonaler Arbeitsinspektor*innen und Ausschöpfung Covid-19-Finanzierung;2020-12-09;;Arbeitsmarkt;Gesundheitsförderung;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110621;B
19.5388;Interpellation;BastA!;Zürcher, Tonja;Interpellation Nr. 88 Tonja Zürcher betreffend die Verantwortung des Finanzplatzes für die Klimakrise;2019-09-11;;Privatwirtschaft & Standort;Klima & Luft;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109849;A
19.5381;Petition;;;"Petition P402 ""Rettet das La Torre auf dem Bruderholz""";2019-10-16;;Raumplanung;Stadtgrün;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109842;A
19.5375;Schriftliche Anfrage;GLP;Wüest-Rudin, David;Schriftliche Anfrage David Wüest-Rudin betreffend Leistungsaufträge in der Spitexversorgung des Kantons Basel-Stadt;2019-09-11;;Gesundheitsversorgung;Privatwirtschaft & Standort;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109834;A
19.5369;Schriftliche Anfrage;;Meyer, Jürg;Schriftliche Anfrage Jürg Meyer betreffend Erhöhung des Grundbedarfs und der Mietzinsgrenzwerte der Sozialhilfe auf 1. Juli 2019;2019-09-11;;Sozialhilfe;Wohnen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109826;A
19.5360;Schriftliche Anfrage;SVP;Hablützel-Bürki, Gianna;Schriftliche Anfrage Gianna Hablützel-Bürki betreffend Übersicht über die Gelder für Pflegefamilien und die FPO im Kanton Basel-Stadt;2019-09-11;;Kinder, Jugendliche & Familien;Sozialversicherungen und -leistungen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109814;A
19.5349;Schriftliche Anfrage;;Wyss, Sarah;Schriftliche Anfrage Sarah Wyss betreffend der vorzeitigen Eindämmung der Tigermücke (Aedes albopictus) in der Region Nordwestschweiz und im gesamten Oberrheingebiet;2019-09-11;;Biodiversität;Gesundheitsförderung;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109807;A
19.5346;Interpellation;Mitte;Isler, Beatrice;Interpellation Nr. 79 Beatrice Isler betreffend Mix Martial Arts (MMA) zum Zweiten;2019-09-11;;Sport;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109806;A
19.5339;Schriftliche Anfrage;GLP;Wüest-Rudin, David;Schriftliche Anfrage David Wüest-Rudin betreffend unhaltbaren Zuständen rund um den Münsterplatz aufgrund von Nachtpartys;2019-09-11;;Nutzung & Regulierung;Polizei & Kriminalität;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109800;A
19.5338;Interpellation;SP;Heer, Barbara;Interpellation Nr. 76 Barbara Heer betreffend Maschinenpistolen gehören nicht in den polizeilichen Alltag;2019-09-11;;Polizei & Kriminalität;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109799;A
19.5337;Anzug;FDP;Urgese, Luca;Anzug Luca Urgese betreffend faire Vernehmlassungsfristen;2019-09-11;;Verwaltung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109798;A
19.5333;Schriftliche Anfrage;SVP;Thüring, Joël;Schriftliche Anfrage Joël Thüring betreffend Kündigungen im Kunstmuseum - Aktenzeichen ungeklärt: Wer wusste und empfahl wann/was?;2019-09-11;;Künste & Unterhaltung;Verwaltung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109794;A
